cidr,school_name,reason
173.243.163.112/28,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.108.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.96.172/30,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.122.0/24,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f0:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.169.111.224/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ec:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.160/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.105.175.112/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d4:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.94.244/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.213.116/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.125.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.219.148/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.121.36/30,Willow Field Elementary School,no_phase2_match_or_timed_out
